name,Serving Size,Calories,Fat,Protein,Carbohydrates
Cornstarch,100 g,381,0.05 g,0.26 g,91.27 g
"Nuts, pecans",100 g,691,71.97 g,9.17 g,13.86 g
"Eggplant, raw",100 g,25,0.18 g,0.98 g,5.88 g
"Teff, uncooked",100 g,367,2.38 g,13.30 g,73.13 g
"Sherbet, orange",100 g,144,2.00 g,1.10 g,30.40 g
"Cauliflower, raw",100 g,25,0.28 g,1.92 g,4.97 g
"Taro leaves, raw",100 g,42,0.74 g,4.98 g,6.70 g
"Lamb, raw, ground",100 g,282,23.41 g,16.56 g,0.00 g
"Cheese, camembert",100 g,300,24.26 g,19.80 g,0.46 g
Vegetarian fillets,100 g,290,18.00 g,23.00 g,9.00 g
"PACE, Picante Sauce",100 g,25,0.00 g,0.00 g,6.25 g
"Goji berries, dried",100 g,349,0.39 g,14.26 g,77.06 g
"Mango nectar, canned",100 g,51,0.06 g,0.11 g,13.12 g
"Crackers, rusk toast",100 g,407,7.20 g,13.50 g,72.30 g
"Chicken, boiled, feet",100 g,215,14.60 g,19.40 g,0.20 g
"Quail, raw, meat only",100 g,134,4.53 g,21.76 g,0.00 g
"Peppers, raw, jalapeno",100 g,29,0.37 g,0.91 g,6.50 g
"Winged bean tuber, raw",100 g,148,0.90 g,11.60 g,28.10 g
"Salami, turkey, cooked",100 g,172,9.21 g,19.20 g,1.55 g
"Grapes, raw, muscadine",100 g,57,0.47 g,0.81 g,13.93 g
"Nuts, raw, ginkgo nuts",100 g,182,1.68 g,4.32 g,37.60 g
"Spices, ground, savory",100 g,272,5.91 g,6.73 g,68.73 g
"Candies, sesame crunch",100 g,516,33.30 g,11.60 g,50.30 g
"Cheese, low fat, cream",100 g,201,15.28 g,7.85 g,8.13 g
"Syrup, Canadian, maple",100 g,270,0.00 g,0.00 g,67.38 g
"Ostrich, raw, top loin",100 g,119,2.95 g,21.67 g,0.00 g
"Chewing gum, sugarless",100 g,268,0.40 g,0.00 g,94.80 g
"Nuts, dried, pine nuts",100 g,673,68.37 g,13.69 g,13.08 g
"Pasta, unenriched, dry",100 g,371,1.51 g,13.04 g,74.67 g
"Cookies, Marie biscuit",100 g,406,10.58 g,7.05 g,70.54 g
"Broccoli, raw, chinese",100 g,30,0.76 g,1.20 g,4.67 g
"Agave, raw (Southwest)",100 g,68,0.15 g,0.52 g,16.23 g
"Emu, raw, outside drum",100 g,103,0.48 g,23.08 g,0.00 g
"Nuts, dried, beechnuts",100 g,576,50.00 g,6.20 g,33.50 g
"Currants, dried, zante",100 g,283,0.27 g,4.08 g,74.08 g
"Lentils, raw, sprouted",100 g,106,0.55 g,8.96 g,22.14 g
"Gravy, mix, dry, onion",100 g,322,3.00 g,9.00 g,67.64 g
"Snacks, cakes, popcorn",100 g,384,3.10 g,9.70 g,80.10 g
"Snack, Mixed Berry Bar",100 g,383,10.53 g,13.16 g,58.84 g
"Fish, raw, sheepshead",100 g,108,2.41 g,20.21 g,0.00 g
"Babyfood, pear, juice",100 g,47,0.00 g,0.00 g,11.86 g
"Brussels sprouts, raw",100 g,43,0.30 g,3.38 g,8.95 g
"Broccoli raab, cooked",100 g,33,0.52 g,3.83 g,3.12 g
"Butter oil, anhydrous",100 g,876,99.48 g,0.28 g,0.00 g
"Chicory, raw, witloof",100 g,17,0.10 g,0.90 g,4.00 g
"KEEBLER, Waffle Cones",100 g,424,5.30 g,6.50 g,87.70 g
